word,occurrence,percentage,cumulative
kamerleden,45,0.0003,0.5191890000000001
duurder,45,0.0003,0.5194890000000001
buiten,44,0.000293,0.5197820000000001
zomer,44,0.000293,0.5200750000000001
erg,44,0.000293,0.520368
ร,44,0.000293,0.520661
19,43,0.000287,0.5209480000000001
azc,43,0.000287,0.5212350000000001
eu,43,0.000287,0.5215220000000002
vindt,43,0.000287,0.5218090000000002
online,43,0.000287,0.5220960000000002
and,43,0.000287,0.5223830000000003
nemen,43,0.000287,0.5226700000000003
werkt,43,0.000287,0.5229570000000003
extra,43,0.000287,0.5232440000000004
haag,43,0.000287,0.5235310000000004
krijg,43,0.000287,0.5238180000000004
richting,42,0.00028,0.5240980000000004
der,42,0.00028,0.5243780000000003
zeg,42,0.00028,0.5246580000000003
huis,42,0.00028,0.5249380000000002
zoekt,41,0.000273,0.5252110000000002
politieke,41,0.000273,0.5254840000000002
politiek,41,0.000273,0.5257570000000001
best,41,0.000273,0.5260300000000001
toen,41,0.000273,0.5263030000000001
eigenlijk,41,0.000273,0.526576
100,41,0.000273,0.526849
gesprek,41,0.000273,0.527122
29,41,0.000273,0.527395
to,41,0.000273,0.5276679999999999
vooral,41,0.000273,0.5279409999999999
poetin,41,0.000273,0.5282139999999999
leuk,41,0.000273,0.5284869999999998
geven,40,0.000267,0.5287539999999998
ander,40,0.000267,0.5290209999999999
16,40,0.000267,0.5292879999999999
cent,40,0.000267,0.5295549999999999
maand,40,0.000267,0.5298219999999999
collega,40,0.000267,0.5300889999999999
twitter,40,0.000267,0.5303559999999999
youtube,40,0.000267,0.530623
weekend,40,0.000267,0.53089
plaats,40,0.000267,0.531157
vakantie,40,0.000267,0.531424
eten,40,0.000267,0.531691
geeft,40,0.000267,0.531958
vuur,40,0.000267,0.5322250000000001
tweede,39,0.00026,0.5324850000000001
hpa,39,0.00026,0.5327450000000001
windvlaag,39,0.00026,0.5330050000000002
toekomst,39,0.00026,0.5332650000000002
pas,39,0.00026,0.5335250000000002
28,39,0.00026,0.5337850000000003
zelfs,39,0.00026,0.5340450000000003
11,39,0.00026,0.5343050000000004
stuk,38,0.000253,0.5345580000000003
plan,38,0.000253,0.5348110000000003
kilometer,38,0.000253,0.5350640000000002
laptop,38,0.000253,0.5353170000000002
geleden,38,0.000253,0.5355700000000001
nadat,38,0.000253,0.535823
stad,38,0.000253,0.536076
z,38,0.000253,0.536329
vrouw,38,0.000253,0.5365819999999999
weinig,37,0.000247,0.5368289999999999
update,37,0.000247,0.5370759999999999
men,37,0.000247,0.5373229999999999
oh,37,0.000247,0.5375699999999999
oorlog,37,0.000247,0.5378169999999999
eerder,37,0.000247,0.5380639999999999
soort,37,0.000247,0.5383109999999999
zitten,37,0.000247,0.5385579999999999
wagner,37,0.000247,0.5388049999999999
vrtweer,37,0.000247,0.5390519999999999
br,37,0.000247,0.5392989999999999
oude,37,0.000247,0.5395459999999999
blij,37,0.000247,0.5397929999999999
donderdag,37,0.000247,0.5400399999999999
wachten,37,0.000247,0.5402869999999999
gezien,37,0.000247,0.5405339999999998
zorgen,37,0.000247,0.5407809999999998
overheid,36,0.00024,0.5410209999999999
seizoen,36,0.00024,0.5412609999999999
hoop,36,0.00024,0.5415009999999999
moment,36,0.00024,0.5417409999999999
asielzoekers,36,0.00024,0.5419809999999999
neemt,36,0.00024,0.542221
eindelijk,36,0.00024,0.542461
ooit,36,0.00024,0.542701
ruim,36,0.00024,0.542941
utrecht,36,0.00024,0.543181
maanden,36,0.00024,0.543421
hard,36,0.00024,0.5436610000000001
zon,36,0.00024,0.5439010000000001
één,36,0.00024,0.5441410000000001
maandag,35,0.000233,0.5443740000000001
straks,35,0.000233,0.5446070000000002
gemaakt,35,0.000233,0.5448400000000002
school,35,0.000233,0.5450730000000003
06,35,0.000233,0.5453060000000003
kangen,35,0.000233,0.5455390000000003
kun,35,0.000233,0.5457720000000004
uv,35,0.000233,0.5460050000000004
helpen,35,0.000233,0.5462380000000004
geweest,34,0.000227,0.5464650000000004
a1,34,0.000227,0.5466920000000004
zeer,34,0.000227,0.5469190000000004
zet,34,0.000227,0.5471460000000004
zullen,34,0.000227,0.5473730000000003
volkskrant,34,0.000227,0.5476000000000003
