word,occurrence,percentage,cumulative
hpa,39,0.00026,0.5690930000000002
zelfs,39,0.00026,0.5693530000000002
laptop,39,0.00026,0.5696130000000003
windvlaag,39,0.00026,0.5698730000000003
zoveel,38,0.000253,0.5701260000000002
blij,38,0.000253,0.5703790000000002
juist,38,0.000253,0.5706320000000001
noemen,38,0.000253,0.5708850000000001
seizoen,38,0.000253,0.571138
prijs,38,0.000253,0.571391
nadat,38,0.000253,0.5716439999999999
zwaar,38,0.000253,0.5718969999999999
oorlog,38,0.000253,0.5721499999999998
z,38,0.000253,0.5724029999999998
vlaams,38,0.000253,0.5726559999999997
wagner,37,0.000247,0.5729029999999997
jongen,37,0.000247,0.5731499999999997
stap,37,0.000247,0.5733969999999997
soort,37,0.000247,0.5736439999999997
donderdag,37,0.000247,0.5738909999999997
geleden,37,0.000247,0.5741379999999997
slecht,37,0.000247,0.5743849999999997
men,37,0.000247,0.5746319999999997
hart,37,0.000247,0.5748789999999997
ruim,37,0.000247,0.5751259999999997
oh,37,0.000247,0.5753729999999997
vrtweer,37,0.000247,0.5756199999999997
br,37,0.000247,0.5758669999999997
volledig,37,0.000247,0.5761139999999997
minister,36,0.00024,0.5763539999999997
eindelijk,36,0.00024,0.5765939999999997
europees,36,0.00024,0.5768339999999997
zon,36,0.00024,0.5770739999999998
brengen,36,0.00024,0.5773139999999998
ooit,36,0.00024,0.5775539999999998
rond,36,0.00024,0.5777939999999998
vertellen,36,0.00024,0.5780339999999998
utrecht,36,0.00024,0.5782739999999998
maandag,35,0.000233,0.5785069999999999
missen,35,0.000233,0.5787399999999999
vast,35,0.000233,0.578973
uv,35,0.000233,0.579206
06,35,0.000233,0.579439
18,35,0.000233,0.5796720000000001
kans,35,0.000233,0.5799050000000001
schrijven,35,0.000233,0.5801380000000002
zorg,35,0.000233,0.5803710000000002
straks,35,0.000233,0.5806040000000002
zeer,34,0.000227,0.5808310000000002
volkskrant,34,0.000227,0.5810580000000002
organiseren,34,0.000227,0.5812850000000002
minuut,34,0.000227,0.5815120000000001
slachtoffer,34,0.000227,0.5817390000000001
opnieuw,34,0.000227,0.5819660000000001
d,34,0.000227,0.5821930000000001
hoeven,34,0.000227,0.58242
a1,34,0.000227,0.582647
website,34,0.000227,0.582874
enig,34,0.000227,0.583101
trouw,34,0.000227,0.583328
zetten,34,0.000227,0.5835549999999999
vorig,34,0.000227,0.5837819999999999
baudet,34,0.000227,0.5840089999999999
bang,33,0.00022,0.5842289999999999
anders,33,0.00022,0.5844489999999999
he,33,0.00022,0.5846689999999999
artikel,33,0.00022,0.5848889999999999
incident,33,0.00022,0.5851089999999999
fvdverbod,33,0.00022,0.5853289999999999
regering,33,0.00022,0.5855489999999999
leren,33,0.00022,0.5857689999999999
b,33,0.00022,0.5859889999999999
genoeg,33,0.00022,0.5862089999999999
kilometerheffing,33,0.00022,0.5864289999999999
veelrijder,33,0.00022,0.5866489999999999
club,33,0.00022,0.5868689999999999
informatie,33,0.00022,0.5870889999999999
jan,33,0.00022,0.5873089999999999
prachtig,33,0.00022,0.5875289999999999
actie,32,0.000213,0.5877419999999999
zwolle,32,0.000213,0.5879549999999999
flink,32,0.000213,0.5881679999999999
neem,32,0.000213,0.5883809999999999
centrum,32,0.000213,0.588594
druk,32,0.000213,0.588807
gek,32,0.000213,0.58902
begrijpen,32,0.000213,0.589233
speler,32,0.000213,0.589446
klaar,32,0.000213,0.589659
brand,32,0.000213,0.5898720000000001
belgië,32,0.000213,0.5900850000000001
vochtigheid,32,0.000213,0.5902980000000001
vanavond,31,0.000207,0.5905050000000001
geloven,31,0.000207,0.590712
mislukken,31,0.000207,0.590919
zonnig,31,0.000207,0.5911259999999999
team,31,0.000207,0.5913329999999999
half,31,0.000207,0.5915399999999998
war,31,0.000207,0.5917469999999998
democratisch,31,0.000207,0.5919539999999998
17,31,0.000207,0.5921609999999997
manier,31,0.000207,0.5923679999999997
praten,31,0.000207,0.5925749999999996
vrij,30,0.0002,0.5927749999999996
antwoord,30,0.0002,0.5929749999999996
niemand,30,0.0002,0.5931749999999996
betekenen,30,0.0002,0.5933749999999995
ongeval,30,0.0002,0.5935749999999995
les,30,0.0002,0.5937749999999995
bm,30,0.0002,0.5939749999999995
patiënt,30,0.0002,0.5941749999999995
moeilijk,30,0.0002,0.5943749999999994
m²,30,0.0002,0.5945749999999994
tour,30,0.0002,0.5947749999999994
leggen,30,0.0002,0.5949749999999994
sterk,30,0.0002,0.5951749999999993
zin,30,0.0002,0.5953749999999993
terwijl,30,0.0002,0.5955749999999993
50,30,0.0002,0.5957749999999993
aangifte,30,0.0002,0.5959749999999993
breken,30,0.0002,0.5961749999999992
antwerpen,30,0.0002,0.5963749999999992
plek,30,0.0002,0.5965749999999992
verdienen,30,0.0002,0.5967749999999992
tiktok,30,0.0002,0.5969749999999991
zet,30,0.0002,0.5971749999999991
dictatuur,30,0.0002,0.5973749999999991
woning,30,0.0002,0.5975749999999991
innen,30,0.0002,0.5977749999999991
dusel,30,0.0002,0.597974999999999
app,30,0.0002,0.598174999999999
trots,30,0.0002,0.598374999999999
27,30,0.0002,0.598574999999999
slaan,29,0.000193,0.598767999999999
miljard,29,0.000193,0.598960999999999
ontvangen,29,0.000193,0.599153999999999
stop,29,0.000193,0.599346999999999
thuis,29,0.000193,0.599539999999999
index,29,0.000193,0.599732999999999
spreken,29,0.000193,0.599925999999999
weathercloud,29,0.000193,0.600118999999999
k,29,0.000193,0.600311999999999
rel,29,0.000193,0.600504999999999
kdk,29,0.000193,0.600697999999999
feliciteren,29,0.000193,0.600890999999999
id,29,0.000193,0.601083999999999
staat,29,0.000193,0.601276999999999
raken,29,0.000193,0.601469999999999
vergeten,29,0.000193,0.601662999999999
24,29,0.000193,0.601855999999999
enorm,29,0.000193,0.602048999999999
feyenoord,29,0.000193,0.602241999999999
daarom,29,0.000193,0.6024349999999989
zaak,29,0.000193,0.6026279999999989
oog,28,0.000187,0.602814999999999
oliegooier,28,0.000187,0.603001999999999
bericht,28,0.000187,0.6031889999999991
verwachten,28,0.000187,0.6033759999999991
ijbol,28,0.000187,0.6035629999999992
heerlijk,28,0.000187,0.6037499999999992
warm,28,0.000187,0.6039369999999993
se,28,0.000187,0.6041239999999993
ambu,28,0.000187,0.6043109999999994
klant,28,0.000187,0.6044979999999994
deur,28,0.000187,0.6046849999999995
terecht,28,0.000187,0.6048719999999995
link,28,0.000187,0.6050589999999996
benieuwd,28,0.000187,0.6052459999999996
kapot,28,0.000187,0.6054329999999997
gebied,28,0.000187,0.6056199999999997
gelukkig,28,0.000187,0.6058069999999998
min,28,0.000187,0.6059939999999998
reactie,28,0.000187,0.6061809999999999
temp,28,0.000187,0.6063679999999999
hopen,28,0.000187,0.606555
misdrijf,28,0.000187,0.606742
centraal,28,0.000187,0.606929
genieten,27,0.00018,0.607109
r,27,0.00018,0.607289
inmiddels,27,0.00018,0.6074689999999999
waarheid,27,0.00018,0.6076489999999999
kangen,27,0.00018,0.6078289999999998
toenemen,27,0.00018,0.6080089999999998
russisch,27,0.00018,0.6081889999999998
woensdag,27,0.00018,0.6083689999999997
zichzelf,27,0.00018,0.6085489999999997
feest,27,0.00018,0.6087289999999996
zee,27,0.00018,0.6089089999999996
openbaar,27,0.00018,0.6090889999999995
,27,0.00018,0.6092689999999995
jinek_rtl,27,0.00018,0.6094489999999995
rechter,27,0.00018,0.6096289999999994
trein,27,0.00018,0.6098089999999994
zoek,27,0.00018,0.6099889999999993
museum,26,0.000173,0.6101619999999993
op1npo,26,0.000173,0.6103349999999993
reden,26,0.000173,0.6105079999999993
duitsland,26,0.000173,0.6106809999999993
26-06-2023,26,0.000173,0.6108539999999992
trekken,26,0.000173,0.6110269999999992
gooien,26,0.000173,0.6111999999999992
wtb,26,0.000173,0.6113729999999992
totaal,26,0.000173,0.6115459999999991
persoon,26,0.000173,0.6117189999999991
leveren,26,0.000173,0.6118919999999991
precies,26,0.000173,0.6120649999999991
by,26,0.000173,0.6122379999999991
rechts,26,0.000173,0.612410999999999
natuur,26,0.000173,0.612583999999999
volk,26,0.000173,0.612756999999999
kritisch,26,0.000173,0.612929999999999
stijgen,26,0.000173,0.613102999999999
tijdelijk,25,0.000167,0.613269999999999
gwn,25,0.000167,0.613436999999999
duizend,25,0.000167,0.613603999999999
hoor,25,0.000167,0.6137709999999991
kant,25,0.000167,0.6139379999999991
npo1,25,0.000167,0.6141049999999991
ondermijnen,25,0.000167,0.6142719999999992
baan,25,0.000167,0.6144389999999992
regio,25,0.000167,0.6146059999999992
eerst,25,0.000167,0.6147729999999992
groep,25,0.000167,0.6149399999999993
verkopen,25,0.000167,0.6151069999999993
40,25,0.000167,0.6152739999999993
rtl4,25,0.000167,0.6154409999999993
g,25,0.000167,0.6156079999999994
it,25,0.000167,0.6157749999999994
haha,25,0.000167,0.6159419999999994
brussel,25,0.000167,0.6161089999999995
gebruik,25,0.000167,0.6162759999999995
bezig,25,0.000167,0.6164429999999995
direct,25,0.000167,0.6166099999999995
muziek,25,0.000167,0.6167769999999996
gift,25,0.000167,0.6169439999999996
ouder,25,0.000167,0.6171109999999996
hahaha,25,0.000167,0.6172779999999997
date,25,0.000167,0.6174449999999997
eenvandaag,24,0.00016,0.6176049999999997
moeder,24,0.00016,0.6177649999999998
nationaal,24,0.00016,0.6179249999999998
goedemiddag,24,0.00016,0.6180849999999999
wef,24,0.00016,0.6182449999999999
vier,24,0.00016,0.618405
lt,24,0.00016,0.618565
you,24,0.00016,0.6187250000000001
locatie,24,0.00016,0.6188850000000001
eindhoven,24,0.00016,0.6190450000000002
gelijk,24,0.00016,0.6192050000000002
so,24,0.00016,0.6193650000000003
plaatsvinden,24,0.00016,0.6195250000000003
beeld,24,0.00016,0.6196850000000004
dom,24,0.00016,0.6198450000000004
telefoon,24,0.00016,0.6200050000000005
plaatsen,24,0.00016,0.6201650000000005
mogelijkheid,24,0.00016,0.6203250000000006
bitcoin,24,0.00016,0.6204850000000006
paar,24,0.00016,0.6206450000000007
ernstig,24,0.00016,0.6208050000000007
starten,24,0.00016,0.6209650000000008
nieuwsuur,24,0.00016,0.6211250000000008
oplossen,24,0.00016,0.6212850000000009
kosten,24,0.00016,0.6214450000000009
bieden,24,0.00016,0.621605000000001
rtlnieuw,24,0.00016,0.621765000000001
x,24,0.00016,0.6219250000000011
hulp,23,0.000153,0.622078000000001
teletek,23,0.000153,0.622231000000001
publiekeomroep,23,0.000153,0.6223840000000009
olie,23,0.000153,0.6225370000000009
verschillend,23,0.000153,0.6226900000000009
alsof,23,0.000153,0.6228430000000008
naast,23,0.000153,0.6229960000000008
bus,23,0.000153,0.6231490000000007
adnl,23,0.000153,0.6233020000000007
forum,23,0.000153,0.6234550000000006
boven,23,0.000153,0.6236080000000006
rtlboulevard,23,0.000153,0.6237610000000006
hoogte,23,0.000153,0.6239140000000005
ticket,23,0.000153,0.6240670000000005
开云体育,23,0.000153,0.6242200000000004
art,23,0.000153,0.6243730000000004
vs,23,0.000153,0.6245260000000004
verdachte,23,0.000153,0.6246790000000003
dier,23,0.000153,0.6248320000000003
veranderen,23,0.000153,0.6249850000000002
vijf,23,0.000153,0.6251380000000002
recht,23,0.000153,0.6252910000000002
vorm,23,0.000153,0.6254440000000001
feit,23,0.000153,0.6255970000000001
sturen,23,0.000153,0.62575
humbertotan,23,0.000153,0.625903
dm,23,0.000153,0.626056
energie,23,0.000153,0.6262089999999999
gezicht,23,0.000153,0.6263619999999999
no,23,0.000153,0.6265149999999998
steken,22,0.000147,0.6266619999999998
nporadio2,22,0.000147,0.6268089999999998
hee1600,22,0.000147,0.6269559999999998
rit,22,0.000147,0.6271029999999999
百家乐,22,0.000147,0.6272499999999999
vir,22,0.000147,0.6273969999999999
helaas,22,0.000147,0.6275439999999999
vliegen,22,0.000147,0.6276909999999999
keuze,22,0.000147,0.6278379999999999
cover,22,0.000147,0.6279849999999999
gisteren,22,0.000147,0.6281319999999999
september,22,0.000147,0.6282789999999999
agenda,22,0.000147,0.6284259999999999
liefde,22,0.000147,0.6285729999999999
bellen,22,0.000147,0.62872
npo2,22,0.000147,0.628867
teruglevertarief,22,0.000147,0.629014
sommig,22,0.000147,0.629161
festival,22,0.000147,0.629308
opiniepanel,22,0.000147,0.629455
beaurtl,22,0.000147,0.629602
binnenkort,22,0.000147,0.629749
nosnieuws,22,0.000147,0.629896
npopolitiek,22,0.000147,0.630043
npo3,22,0.000147,0.63019
expert,22,0.000147,0.630337
บงานลพบ,22,0.000147,0.630484
npo_actueel,22,0.000147,0.630631
koop,22,0.000147,0.6307780000000001
digitaal,22,0.000147,0.6309250000000001
2ekamertweets,21,0.00014,0.6310650000000001
